KYTREASNOX,MCALDT,TMYTM
2000002,1996-01-31,4.9994232406861E+00
2000002,1996-02-29,4.9785478776117E+00
2000002,1996-03-29,5.0911279068237E+00
2000002,1996-04-30,5.1024692953067E+00
2000002,1996-05-31,5.1321978636228E+00
2000002,1996-06-28,5.1321978636228E+00
2000002,1996-07-31,5.2767415683809E+00
2000002,1996-08-30,5.2455402342714E+00
2000002,1996-09-30,4.9977048818262E+00
2000002,1996-10-31,5.1120218404026E+00
2000002,1996-11-29,5.0911279068237E+00
2000002,1996-12-31,5.1409895478222E+00
2000002,1997-01-31,5.1219299845019E+00
2000002,1997-02-28,5.1938105981651E+00
2000002,1997-03-31,5.2850941835814E+00
2000002,1997-04-30,5.2664670615997E+00
2000002,1997-05-30,5.1501672776435E+00
2000002,1997-06-30,5.1439409083217E+00
2000002,1997-07-31,5.1993172987316E+00
2000002,1997-08-29,5.1813431511804E+00
2000002,1997-09-30,5.0079653963598E+00
2000002,1997-10-31,5.1630030608542E+00
2000002,1997-11-28,5.2605682918059E+00
2000002,1997-12-31,5.3101355526985E+00
2000002,1998-01-30,5.1501672776435E+00
2000002,1998-02-27,5.2785433947083E+00
2000002,1998-03-31,5.1307171108318E+00
2000002,1998-04-30,4.9426201675378E+00
2000002,1998-05-29,4.9807730020995E+00
2000002,1998-06-30,5.0434122502010E+00
2000002,1998-07-31,5.0397963088517E+00
2000002,1998-08-31,4.8210700973368E+00
2000002,1998-09-30,4.3095367017762E+00
2000002,1998-10-30,4.3064643211904E+00
2000002,1998-11-30,4.4619417938157E+00
2000002,1998-12-31,4.4322811056534E+00
2000002,1999-01-29,4.4345736047384E+00
2000002,1999-02-26,4.6396326689254E+00
2000002,1999-03-31,4.4504940391419E+00
2000002,1999-04-30,4.5140216883206E+00
2000002,1999-05-28,4.6088671987258E+00
2000002,1999-06-30,4.7402545368274E+00
2000002,1999-07-30,4.7062991952437E+00
2000002,1999-08-31,4.8925490742041E+00
2000002,1999-09-30,4.8040719949432E+00
2000002,1999-10-29,5.0474956343699E+00
2000002,1999-11-30,5.2514352294196E+00
2000002,1999-12-31,5.3273369761071E+00
2000002,2000-01-31,5.6343317767580E+00
2000002,2000-02-29,5.7295353278595E+00
2000002,2000-03-31,5.8181672794414E+00
2000002,2000-04-28,5.7770278003701E+00
2000002,2000-05-31,5.5799592810861E+00
